review,stars,date,neg,neu,pos,compound
Chairs are comfy, 4 ,2022/08,0.0,1.0,0.0,0.0
Was great had comfy seats. My seat didn't recline but young girl came and fixed it great customer service., 5 ,2022/08,0.0,0.675,0.325,0.8481
, 5 ,2022/08,0.0,0.0,0.0,0.0
Chairs were amazing the 22 price though is way too much, 4 ,2022/08,0.0,0.725,0.275,0.5859
"Super relaxing during the movie time , great price also👍 …", 5 ,2022/08,0.0,0.349,0.651,0.9042
Awesome cinema great movies. Always good to go there, 5 ,2022/08,0.0,0.351,0.649,0.9022
, 4 ,2022/08,0.0,0.0,0.0,0.0
GOOD, 5 ,2022/08,0.0,0.0,1.0,0.4404
Good, 5 ,2022/08,0.0,0.0,1.0,0.4404
, 5 ,2022/08,0.0,0.0,0.0,0.0
Minions, 5 ,2022/08,0.0,1.0,0.0,0.0
Seats comfortable recliners. Take jumper as air con can be bit cold., 5 ,2022/08,0.0,0.769,0.231,0.5106
Love the ambiance & service, 5 ,2022/08,0.0,0.417,0.583,0.6369
Very comfortable seating. We thoroughly enjoyed the movie., 5 ,2022/08,0.0,0.455,0.545,0.8012
, 5 ,2022/08,0.0,0.0,0.0,0.0
, 5 ,2022/08,0.0,0.0,0.0,0.0
"Very friendly place ,the theatre had recliner seats my grand son loved it here", 5 ,2022/08,0.0,0.514,0.486,0.8858
(Translated by Google) The chair is very very comfortable. Good to see while lying down! …, 5 ,2022/08,0.148,0.522,0.331,0.6376
Good atmosphere and every sop I visited the staff were obliging., 5 ,2022/08,0.0,0.756,0.244,0.4404
, 5 ,2022/07,0.0,0.0,0.0,0.0
, 5 ,2022/07,0.0,0.0,0.0,0.0
, 5 ,2022/07,0.0,0.0,0.0,0.0
Honestly amazing. The fact that the seats recline and you are never looking at the back of someone's head just makes all the difference!, 5 ,2022/07,0.0,0.756,0.244,0.7959
The ushers are very lovely and the seats 💺 are very comfortable  …, 5 ,2022/07,0.0,0.539,0.461,0.8265
Loved this place. Great seats, 5 ,2022/07,0.0,0.273,0.727,0.8402
Great chairs - well spaced apart.  Very clean and welcoming., 5 ,2022/07,0.0,0.288,0.712,0.9073
, 5 ,2022/07,0.0,0.0,0.0,0.0
, 5 ,2022/07,0.0,0.0,0.0,0.0
, 5 ,2022/07,0.0,0.0,0.0,0.0
Beat cinema seats, 5 ,2022/07,0.0,1.0,0.0,0.0
Another great experience thankyou, 5 ,2022/07,0.0,0.423,0.577,0.6249
"Best seats at the cinemas! They recline, nice.", 5 ,2022/07,0.0,0.451,0.549,0.807
Looking very tired in cinemas, 3 ,2022/07,0.444,0.556,0.0,-0.4927
, 5 ,2022/07,0.0,0.0,0.0,0.0
, 5 ,2022/07,0.0,0.0,0.0,0.0
, 3 ,2022/07,0.0,0.0,0.0,0.0
, 5 ,2022/07,0.0,0.0,0.0,0.0
Great seats that recline. Can't fault this cinema, 5 ,2022/07,0.0,0.486,0.514,0.7475
, 4 ,2022/07,0.0,0.0,0.0,0.0
"The sound system of the xtreme is really extreme, it always overruns the dialogues. They should do a bit better with neatness of the seating", 3 ,2022/07,0.0,0.809,0.191,0.6369
, 4 ,2022/07,0.0,0.0,0.0,0.0
, 4 ,2022/07,0.0,0.0,0.0,0.0
Love comming here as all the seat recline and heaps of room. Cinema very clean friendly staff., 5 ,2022/07,0.0,0.567,0.433,0.8927
, 5 ,2022/07,0.0,0.0,0.0,0.0
"Good theatre, nice experience with recliner seats ,convineant location ...", 5 ,2022/07,0.0,0.584,0.416,0.6908
"Great place to unwind and enjoy a movie. Seats are great and comfortable. I would of given a score of 5 stars but the hygiene of the toilets are unsatisfactory, need more routine checks then what is currently available.", 4 ,2022/07,0.0,0.768,0.232,0.81
, 4 ,2022/07,0.0,0.0,0.0,0.0
, 5 ,2022/07,0.0,0.0,0.0,0.0
